S.no,tweetid,tweettext
0,1045017281250684929,This is great news. ML-agents and the environments in Unity provide amazingly rich environments for deep RL researc… https://t.co/mYI731BGGP
1,1045016557045264384,RPNet: an End-to-End Network for Relative Camera Pose Estimation. https://t.co/rrC9TKAdVu https://t.co/iapGSG9KiW
2,1045016538955243521,"Learn more about how Google Dataset Search was built, and how you can get your dataset to show up in the results! →… https://t.co/fBCvYAwGY2"
3,1045016402439163904,"Medical Council of India dissolved, replaced with Board of Governors
https://t.co/dN720gjkfO
@RamblingBrook reports https://t.co/nBMUYvBKtE"
4,1045015492346433538,The Complete Machine Learning Course with Python https://t.co/RKwKCk9lca  #machinelearning #ad
5,1045015490886807552,Advanced Predictive Techniques with Scikit-Learn  TensorFlow https://t.co/Mlp7eHOh07  #machinelearning #ad
6,1045015482502455298,"RT @ipfconline1: Using #BigData #Analytics for Patient Safety, Hospital Acquired Conditions

=&gt; Providing valuable insight into avoiding pa…"
7,1045015468925497349,RT @MikeQuindazzi: 7 largest US #VentureCapital deals in Q2 2018 &gt;&gt; #PwC via @MikeQuindazzi &gt;&gt; #Startups #AI #FinTech #CyberSecurity #BigDa…
8,1045015380396322816,Looking for a fun way to spice up the day? Search has loads of Easter eggs just waiting to play →… https://t.co/msD3IZB8hk
9,1045015143774543872,"Supreme Court says Aadhaar fine, but restricts use for govt welfare schemes
https://t.co/9QAW6JYLO4

@BhadraSinha r… https://t.co/AYPLQumJJF"
10,1045014731965308930,#QuantEcon is dedicated to improving economic modeling through #opensource tools. It offers code libraries; worksho… https://t.co/iiLTrcrra4
11,1045013889664991232,"Law should back future directives on Aadhaar linking, says UIDAI CEO Ajay Bhushan Pandey
https://t.co/IeqFWiflhE… https://t.co/wyR2Ag4PKx"
12,1045013572462424064,"RT @JessicaValenti: One woman coming forward wasn’t enough, but three is a “conspiracy.” Got it."
13,1045013271592542208,RT @IanMikutel: 🚨🔥 I'm speaking today 4pm on Microsoft Whiteboard @ #MSIgnite in West Theater. Learn how you can get started with what @mas…
14,1045013142563168256,Here's another look at the Google Home Hub Smart Display https://t.co/VRWjlZFPrG https://t.co/9UW0BGju47
15,1045012882105069568,Dance like nobody is watching; code like everybody is. https://t.co/ev3F8iZ9Ap #wednesdaywisdom… https://t.co/3xUUx73qhb
16,1045012395461087232,"It's not too late to go #backtoschool! Deadlines are extended in the:
📊School of #DataScience
🤖School of AI
💻School… https://t.co/lDCXLz4RQr"
17,1045011871869198336,"Supreme Court verdict on Aadhaar may hit security regime
https://t.co/q8RoXsQrdd
@iamrajeshahuja reports https://t.co/3BG3C62Sfc"
18,1045011155444477952,Can't wait!! https://t.co/R21Lmnpf96
19,1045010876699430912,"We’ll be exhibiting our latest solutions at Europe’s premier AI event, @NVIDIAEU #GTC18. Use our VIP discount code… https://t.co/MffviNpt5i"
20,1045010525023858693,#ApacheSpark : #Python vs. Scala #KDN https://t.co/hmyULKuFcG
21,1045010473333280768,Intro to TensorFlow - For iOS  Android https://t.co/zlKEox13kO  #machinelearning #ad
22,1045010471907209217,Deep Learning with TensorFlow LiveLessons: Applications of Deep Neural Networks to Machine Learning Tasks… https://t.co/pkXtvyLRAV
23,1045010445155934208,"RT @Ronald_vanLoon: #DeepLearning #Algorithms Are Performing Calculations At The Speed Of Light 
by @Analyticsindiam | 

Read more at: http…"
24,1045010395600232451,LTE Base Station Software https://t.co/MMFVVB9pLR
25,1045010394312511488,"When Zuckerberg Asserted Control, Instagram’s Founders Chafed https://t.co/QoqaNobyaE"
26,1045010391984672769,WhatsApp Cofounder Brian Acton on Why He Left $850M Behind https://t.co/IpzmvZib7J
27,1045010390965538818,"Introducing Oculus Quest, Our First 6DOF All-In-One VR System https://t.co/UEj5tcrvfz"
28,1045010362364567552,"Fully 88% of Pioneers invested more in #AI than in the previous year, compared with 62% of other groups. Learn how… https://t.co/56DzDBn3cd"
29,1045010333700673536,We're proud to be a co-sponsor at @InfluenceOrbis' #influenceMTL https://t.co/8xWJ7GjZpg
30,1045010193766076416,Don't miss out on the daily news and views on immersive technology. Sign up for free newsletters and get more of MI… https://t.co/4NcYvnQ3N0
31,1045010153916047360,"Given the massive #AI talent shortage, many companies are wondering if they can automate the work that #ML engineer… https://t.co/MnKsCFiC0F"
32,1045008832622080000,"RT @OracleERPCloud: For the 2nd consecutive year, @Gartner_inc has named @OracleERPCloud a Leader in its 2018 Magic Quadrant for Cloud Core…"
33,1045008824468262912,"🧠 Can't help but be reminded of the current state of autonomous vehicle deployment: slow speed, 2 Test Drivers, tro… https://t.co/htBvC8qPaU"
34,1045008822496968704,"🇺🇸 The US had a slightly more extreme version of the Red Flag Laws, introduced in 1894.

https://t.co/MkM7fhPRUt https://t.co/xDvAvOiBUr"
35,1045008818675970048,"🚩 TIL: The 🇬🇧 Locomotive Act of 1865 required, for safety reasons, ""self-propelled vehicles"" to be led by a pedestr… https://t.co/ebaJisEY0K"
36,1045008812976082946,"RT @jonasnaimark: In areas most important to a UI, motion design can and should be simple. Read more in my latest blog post for Google Desi…"
37,1045008192558624768,"RT @qi2peng2: ""Why, oh why, more QA datasets?"" You might ask. We think it's high time that QA systems not only learn to pattern-match local…"
